row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
22,,15.0,"130, 443",yes,366.67,18000.0,2,1.0,2.0,20.0
22,,16.0,"130, 358, 443",yes,468.53,23000.0,2,1.0,2.0,41.0
22,,17.0,"130, 358",yes,162.97,8000.0,2,1.0,2.0,41.0
22,,18.0,"130, 348, 353",yes,264.82,13000.0,2,2.0,2.0,32.0
22,,19.0,"130, 353",yes,224.08,11000.0,2,2.0,2.0,32.0
22,,20.0,"130, 348",yes,101.85,5000.0,2,2.0,2.0,32.0
22,,21.0,"130, 348, 353, 443",yes,570.38,28000.0,2,2.0,2.0,36.0
22,,22.0,"130, 353, 443",yes,529.64,26000.0,2,2.0,2.0,36.0
22,,23.0,"130, 348, 443",yes,407.41,20000.0,2,2.0,2.0,36.0
22,,24.0,"130, 348, 353, 358, 443",yes,672.23,33000.0,2,2.0,2.0,57.0
22,,25.0,"130, 353, 358, 443",yes,631.49,31000.0,2,2.0,2.0,57.0
22,,26.0,"130, 348, 358, 443",yes,509.27,25000.0,2,2.0,2.0,57.0
22,,27.0,"130, 348, 353, 358",yes,366.67,18000.0,2,2.0,2.0,57.0
22,,28.0,"130, 353, 358",yes,325.93,16000.0,2,2.0,2.0,57.0
22,,29.0,"130, 348, 358",yes,203.71,10000.0,2,2.0,2.0,57.0
22,,30.0,130,no,61.11,3000.0,1,1.0,1.0,16.0
22,,31.0,348,no,40.74,2000.0,1,1.0,1.0,16.0
23,,1.0,443,yes,229.18,15000.0,1,1.0,1.0,4.0
23,,2.0,861,yes,122.23,8000.0,1,1.0,1.0,12.0
23,,3.0,"348, 353",yes,152.79,10000.0,1,1.0,1.0,16.0
23,,4.0,353,yes,122.23,8000.0,1,1.0,1.0,16.0
23,,5.0,"358, 443",yes,305.58,20000.0,1,1.0,1.0,25.0
23,,6.0,"348, 353, 443",yes,381.97,25000.0,1,2.0,1.0,20.0
23,,7.0,"353, 443",yes,351.41,23000.0,1,2.0,1.0,20.0
23,,8.0,"348, 443",yes,259.74,17000.0,1,2.0,1.0,20.0
23,,9.0,"348, 353, 358, 443",yes,458.37,30000.0,1,2.0,1.0,41.0
23,,10.0,"353, 358, 443",yes,427.81,28000.0,1,2.0,1.0,41.0
23,,11.0,"348, 358, 443",yes,336.13,22000.0,1,2.0,1.0,41.0
23,,12.0,"348, 353, 358",yes,229.18,15000.0,1,2.0,1.0,41.0
23,,13.0,"353, 358",yes,198.62,13000.0,1,2.0,1.0,41.0
23,,14.0,"348, 358",yes,106.95,7000.0,1,2.0,1.0,41.0
23,,15.0,"348, 353, 861",yes,275.02,18000.0,2,1.0,2.0,28.0
23,,16.0,"353, 861",yes,244.46,16000.0,2,1.0,2.0,28.0
23,,17.0,"348, 861",yes,152.79,10000.0,2,1.0,2.0,28.0
23,,18.0,"443, 861",yes,351.41,23000.0,2,2.0,2.0,16.0
23,,19.0,"348, 353, 443, 861",yes,504.2,33000.0,2,2.0,2.0,32.0
23,,20.0,"353, 443, 861",yes,473.64,31000.0,2,2.0,2.0,32.0
23,,21.0,"348, 443, 861",yes,381.97,25000.0,2,2.0,2.0,32.0
23,,22.0,"358, 443, 861",yes,427.81,28000.0,2,2.0,2.0,37.0
23,,23.0,"358, 861",yes,198.62,13000.0,2,2.0,2.0,37.0
23,,24.0,"348, 353, 358, 443, 861",yes,580.6,38000.0,2,2.0,2.0,53.0
23,,25.0,"353, 358, 443, 861",yes,550.04,36000.0,2,2.0,2.0,53.0
23,,26.0,"348, 358, 443, 861",yes,458.37,30000.0,2,2.0,2.0,53.0
23,,27.0,"348, 353, 358, 861",yes,351.41,23000.0,2,2.0,2.0,53.0
23,,28.0,"353, 358, 861",yes,320.86,21000.0,2,2.0,2.0,53.0
23,,29.0,"348, 358, 861",yes,229.18,15000.0,2,2.0,2.0,53.0
23,,30.0,348,no,30.56,2000.0,1,1.0,1.0,16.0
23,,31.0,358,no,76.39,5000.0,1,1.0,1.0,25.0
24,,1.0,659,yes,308.17,16000.0,1,1.0,1.0,16.0
24,,2.0,649,yes,346.69,18000.0,1,1.0,1.0,19.0
24,,3.0,"649, 659",yes,654.85,34000.0,2,1.0,2.0,35.0
